10,2,0,0,0,0,6,0,5,0,0,0,1,1,270,1,17,0,0,5,1,0,1,0,0,0,0,0,0,0,0,0,1,0
14,4,1,1,2,0,9,1,10,1,1,2,2,5,444,4,26,2,4,6,5,1,1,0,0,0,0,0,0,0,1,0,1,1
22,4,1,1,3,2,16,5,27,9,5,7,6,5,444,9,32,5,5,9,8,3,2,3,2,0,2,0,1,0,1,2,1,2
36,8,2,1,4,4,20,9,43,15,10,18,15,9,549,24,53,23,8,27,15,3,5,5,2,0,2,2,3,0,2,2,3,2
41,10,8,6,17,9,33,18,62,39,18,18,27,32,761,43,78,23,19,57,28,4,11,15,4,1,3,7,4,0,3,5,3,2
68,14,13,9,22,16,40,33,104,60,35,36,46,83,1058,69,111,36,22,75,44,5,16,22,7,1,4,7,4,0,4,8,4,5
80,23,18,13,27,21,53,47,128,70,59,48,75,128,1423,100,151,46,33,110,69,7,26,35,14,6,5,11,6,0,7,8,5,6
91,24,33,20,34,33,66,70,173,106,80,72,95,168,2714,143,207,51,40,132,90,9,44,46,19,6,10,15,8,0,11,8,8,7
111,27,48,27,39,38,96,99,296,152,84,109,130,206,3554,221,277,58,43,147,108,9,55,56,24,6,13,16,9,0,12,10,8,7
121,31,65,35,41,44,112,129,428,200,101,162,158,278,4903,277,354,78,46,182,142,12,76,63,26,8,14,19,14,1,17,10,9,7
139,32,82,39,48,59,135,168,538,237,120,240,184,352,5806,332,436,87,52,211,177,29,83,87,29,8,17,20,14,1,21,12,10,7
168,41,96,47,64,80,169,202,599,297,144,286,206,422,7153,389,535,100,62,247,207,29,93,101,40,9,18,23,17,1,26,13,10,7
