,北京市,天津市,河北省,山西省,辽宁省,黑龙江省,上海市,江苏省,浙江省,安徽省,福建省,江西省,山东省,河南省,湖北省,湖南省,广东省,广    西,海南省,重庆市,四川省,贵州省,云南省,陕西省,甘肃省,青海省,新疆,内蒙古,吉林省
北京市,1,198,164,30,50,20,51,69,19,20,8,14,104,102,56,34,15,6,1,9,9,12,7,28,8,0,2,15,6
天津市,198,1,58,11,84,35,33,47,15,12,5,9,84,31,17,10,8,1,2,4,6,2,2,13,2,0,1,2,8
河北省,162,58,1,63,20,8,12,13,5,3,0,7,30,137,74,47,23,8,0,12,16,13,8,40,10,0,3,5,1
山西省,30,11,63,1,6,2,7,8,4,2,0,2,12,6,5,2,2,0,0,4,4,0,0,33,6,0,3,2,1
辽宁省,50,85,20,6,1,88,10,15,6,1,0,7,25,16,9,5,5,1,2,3,3,2,2,6,1,0,2,4,34
黑龙江省,20,36,8,2,88,1,2,5,2,1,0,3,7,6,4,1,2,0,1,1,1,1,1,1,0,0,1,1,7
上海市,51,35,12,7,10,2,1,304,196,66,29,39,73,40,42,31,11,6,1,14,9,13,7,22,9,0,2,2,2
江苏省,70,47,13,8,15,5,299,1,142,103,15,15,96,52,57,16,4,5,0,19,13,7,5,30,12,0,3,2,2
浙江省,19,16,5,4,6,2,195,141,1,53,49,59,29,18,20,42,9,7,1,8,4,21,10,14,5,0,1,1,1
安徽省,20,12,3,2,1,1,66,103,52,1,13,10,21,9,64,14,7,1,0,19,9,2,2,10,5,0,1,0,0
福建省,8,6,0,0,0,0,28,15,49,13,1,32,10,6,14,8,1,1,0,5,3,4,1,4,2,0,1,1,0
江西省,16,9,6,0,7,3,39,16,59,8,29,1,10,13,45,72,25,9,2,13,11,31,15,8,4,0,1,3,0
山东省,103,80,28,12,25,7,72,95,29,22,11,9,1,32,15,10,5,2,0,4,4,3,3,14,6,0,2,2,4
河南省,96,31,131,6,16,6,39,52,18,9,6,13,32,1,129,83,42,12,2,19,29,14,8,117,41,1,9,3,0
湖北省,56,17,73,5,9,4,42,57,20,64,14,46,15,129,1,153,97,16,2,43,24,16,10,28,12,0,4,4,0
湖南省,34,10,47,2,5,1,31,16,41,14,8,72,10,83,152,1,156,23,2,12,8,50,25,18,7,1,2,2,0
广东省,9,8,17,2,5,2,8,4,9,7,1,23,5,42,96,155,1,52,4,29,14,43,22,16,7,0,2,1,0
广    西,6,1,8,0,0,0,6,6,7,1,1,11,2,12,16,24,51,1,1,26,15,45,12,2,0,0,0,0,0
海南省,1,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
重庆市,9,4,12,4,3,1,14,19,8,19,5,13,4,19,43,12,29,26,0,1,101,72,16,25,9,0,3,1,1
四川省,9,6,16,4,3,1,9,13,5,9,3,11,4,29,25,8,14,15,0,101,1,36,5,50,10,0,1,2,0
贵州省,11,2,12,0,2,1,13,7,21,2,4,31,3,14,16,50,43,45,0,71,37,1,65,6,1,0,1,1,0
云南省,6,2,7,0,0,1,7,5,10,2,1,15,3,8,10,24,21,13,0,16,7,64,1,2,1,0,1,1,0
陕西省,28,11,39,32,4,1,23,30,14,9,4,8,14,117,28,18,16,2,0,26,49,6,2,1,80,0,13,4,0
甘肃省,8,2,10,6,1,0,9,11,5,4,2,5,6,41,12,7,7,0,0,10,9,1,1,81,1,33,22,5,0
青海省,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
新疆,2,1,3,3,2,1,2,3,1,1,1,1,2,9,4,2,2,0,0,3,1,1,1,13,22,4,1,2,0
内蒙古,15,2,5,2,4,1,2,2,1,0,1,3,2,3,4,2,1,1,0,1,2,1,1,3,5,0,2,1,0
吉林省,6,8,1,1,31,7,2,2,1,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
