0,2529,1717,1239,2090,2181,1150,2092,467,839,1327,1539,1892,3929,295,775,1118,943,178,2134,908,1049,2006,836,4157,1910,1796,1945,1381,2240,2342
2529,0,2816,2907,3874,917,2923,2540,2245,2514,2419,1585,879,3865,2402,1822,2611,2100,2343,1337,1834,2626,1983,2478,2246,588,3572,973,3475,1977,4126
1717,2816,0,480,1458,1789,604,716,1518,902,527,2461,2657,2825,1545,1906,736,955,1802,3057,1514,1798,1146,2401,3260,2227,1164,1847,1000,1344,1710
1239,2907,480,0,979,1881,125,1192,1037,421,506,2179,2373,3300,2373,1458,292,695,1322,2775,1171,1516,1622,1981,3736,2318,684,3006,1092,1819,1230
2090,3874,1458,979,0,2847,955,2170,1888,1272,1473,3133,3340,4279,1915,2341,1259,1662,2173,3732,2137,2433,2598,2831,4715,3285,294,2905,2057,2795,256
2181,917,1789,1881,2847,0,1897,1291,1860,1751,1392,2047,1330,2914,1970,1844,1593,1278,2179,1798,1455,1801,1058,2341,2106,736,2547,356,798,1076,3099
1150,2923,604,125,955,1897,0,1316,1217,332,523,2197,2389,3330,975,1406,308,711,1240,2792,1187,1576,1626,1891,3740,2364,661,1954,1107,1897,1207
2092,2540,716,1192,2170,1291,1316,0,1771,1238,748,2479,2673,2111,1815,1921,948,1189,2091,3074,1471,1814,433,2418,2547,1951,1876,1570,723,631,2422
467,2245,1518,1037,1888,1860,1217,1771,0,660,1051,1268,1626,3609,173,509,915,622,419,1868,457,771,1685,999,3836,1688,1587,1449,1104,1920,2140
839,2514,902,421,1272,1751,332,1238,660,0,509,1887,2122,33316,663,1095,300,495,929,2480,919,1209,1612,1580,3726,1934,978,1799,951,1810,1524
1327,2419,527,506,1473,1392,523,748,1051,509,0,1944,2138,2825,1095,1389,218,437,1370,2538,997,1281,1121,1882,3236,1862,1179,1450,602,1319,1725
1539,1585,2461,2179,3133,2047,2197,2479,1268,1887,1944,0,734,4316,1462,835,1902,1516,1352,601,1021,734,2393,901,4148,470,2832,1710,1760,2627,3383
1892,879,2657,2373,3340,1330,2389,2673,1626,2122,2138,734,0,4279,1783,1185,2096,1708,1706,473,1215,851,2352,1615,3431,623,3046,993,3324,2407,3592
3929,3865,2825,3300,4279,2914,3330,2111,3609,33316,2825,4316,4279,0,3652,3647,3206,3027,3928,4747,3323,3640,1928,4255,2668,2671,3985,3203,2541,1762,4531
295,2402,1545,2373,1915,1970,975,1815,173,663,1095,1462,1783,3652,0,632,942,666,278,2017,614,927,1729,966,3880,1844,1610,1651,1174,2029,2166
775,1822,1906,1458,2341,1844,1406,1921,509,1095,1389,835,1185,3647,632,0,1278,961,562,1426,434,453,1835,582,3885,1242,2045,1400,1205,2068,2591
1118,2611,736,292,1259,1593,308,948,915,300,218,1902,2096,3206,942,1278,0,418,1200,2496,955,1240,1321,1859,3436,2030,964,1650,802,1519,1510
943,2100,955,695,1662,1278,711,1189,622,495,437,1516,1708,3027,666,961,418,0,941,2108,569,853,1103,1452,3254,1544,1368,1326,478,1338,1914
178,2343,1802,1322,2173,2179,1240,2091,419,929,1370,1352,1706,3928,278,562,1200,941,0,1947,860,971,2005,688,4155,1763,1800,1897,1379,2239,2425
2134,1337,3057,2775,3732,1798,2792,3074,1868,2480,2538,601,473,4747,2017,1426,2496,2108,1947,0,1615,1326,2820,1497,3899,1230,3435,1467,2355,275,3984
908,1834,1514,1171,2137,1455,1187,1471,457,919,997,1021,1215,3323,614,434,955,569,860,1615,0,361,1446,924,3500,1278,1827,1078,813,1679,2389
1049,2626,1798,1516,2433,1801,1576,1814,771,1209,1281,734,851,3640,927,453,1240,853,971,1326,361,0,1727,967,3960,1105,2132,1500,1097,1960,2700
2006,1983,1146,1622,2598,1058,1626,433,1685,1612,1121,2393,2352,1928,1729,1835,1321,1103,2005,2820,1446,1727,0,2332,2132,1754,2303,1275,604,216,2849
836,2478,2401,1981,2831,2341,1891,2418,999,1580,1882,901,1615,4255,966,582,1859,1452,688,1497,924,967,2332,0,4447,1756,2533,1962,1699,2566,3083
4157,2246,3260,3736,4715,2106,3740,2547,3836,3726,3236,4148,3431,2668,3880,3885,3436,3254,4155,3899,3500,3960,2132,4447,0,2822,4421,2457,2775,1918,4967
1910,588,2227,2318,3285,736,2364,1951,1688,1934,1862,470,623,2671,1844,1242,2030,1544,1763,1230,1278,1105,1754,1756,2822,0,1987,384,2885,1809,3537
1796,3572,1164,684,294,2547,661,1876,1587,978,1179,2832,3046,3985,1610,2045,964,1368,1800,3435,1827,2132,2303,2533,4421,1987,0,2610,1763,2489,546
1945,973,1847,3006,2905,356,1954,1570,1449,1799,1450,1710,993,3203,1651,1400,1650,1326,1897,1467,1078,1500,1275,1962,2457,384,2610,0,847,430,3156
1381,3475,1000,1092,2057,798,1107,723,1104,951,602,1760,3324,2541,1174,1205,802,478,1379,2355,813,1097,604,1699,2775,2885,1763,847,0,858,2309
2240,1977,1344,1819,2795,1076,1897,631,1920,1810,1319,2627,2407,1762,2029,2068,1519,1338,2239,275,1679,1960,216,2566,1918,1809,2489,430,858,0,3047
2342,4126,1710,1230,256,3099,1207,2422,2140,1524,1725,3383,3592,4531,2166,2591,1510,1914,2425,3984,2389,2700,2849,3083,4967,3537,546,3156,2309,3047,0
